Age,Gender,Previous_GPA,Attendance,Study_Hours_PerWeek,Major,Uni_Type,Financial_Status,Motivation,Stress_Levels,Professor_Quality,Class_Size,Extracurricular_Activities,Sleep_Hours_PerDay,Nutrition,Screen_Time_PerDay,Educational_Tech_Use,Bullying,Learning_Style,Lack_of_Interest,GPA
22,F,1,81,8,Law,Private,Low,Medium,High,Medium,39,Yes,6,Unhealthy,3,Yes,,Visual,Low,4
21,M,1,,12,Law,Public,Low,,,High,75,Yes,5,Healthy,9,No,No,Auditory,Medium,
19,M,3.7,93,12,Law,Private,Low,Low,High,Medium,46,No,6,Unhealthy,7,No,No,,Low,4
21,M,1.7,86,15,Business,Public,Medium,High,Medium,High,,Yes,5,,9,Yes,No,Auditory,Low,1.3
19,,,89,15,Medicine,,Medium,High,High,,41,Yes,4,Unhealthy,9,Yes,No,Auditory,Medium,2.7
19,M,1,82,14,Law,Private,High,High,Low,Low,,No,8,Balanced,,Yes,No,Auditory,Low,3.3
20,,1.7,84,13,Law,Private,High,,High,High,82,,7,Healthy,5,No,,,High,2
21,M,,75,5,Business,Public,High,,High,Medium,38,Yes,5,Balanced,6,No,Yes,Visual,High,1
19,M,1,73,10,Law,Public,Low,High,,High,52,Yes,,Unhealthy,2,Yes,No,Auditory,Low,2.7
21,F,3.3,81,6,Arts,Private,High,High,High,,41,No,6,,2,Yes,No,Visual,High,
22,F,4,,9,Engineering,Private,High,High,Medium,High,,No,5,Unhealthy,7,Yes,No,Auditory,Medium,1.3
19,F,3.7,98,9,Business,Private,Low,High,Medium,High,44,Yes,9,Healthy,4,Yes,Yes,,Medium,2.7
22,F,2.7,72,20,Science,Private,Low,High,High,High,,No,6,Healthy,7,Yes,Yes,Kinesthetic,Low,3
21,F,1.3,79,18,Engineering,,High,High,,Medium,47,Yes,7,,4,Yes,No,Auditory,Medium,1
,M,3.3,82,,Medicine,Public,Medium,High,Medium,Low,26,No,6,Healthy,,No,,Auditory,Medium,4
20,F,4,94,10,Law,Private,,Low,Low,High,37,No,8,Healthy,5,Yes,,Auditory,Low,3.3
21,M,1.7,70,9,Engineering,,,Low,Medium,Low,67,No,7,Healthy,8,Yes,Yes,,Medium,2.3
21,F,,96,20,Arts,Private,High,,High,Medium,,No,7,Healthy,6,Yes,No,Auditory,High,3
20,F,3,79,20,Business,Private,Medium,Medium,Low,Medium,83,Yes,5,Balanced,9,No,No,Auditory,,3.7
19,,3.3,75,19,Arts,Public,Medium,Low,Medium,Low,68,No,6,Healthy,,Yes,No,Auditory,Low,1
18,M,3.7,,,Science,,High,Low,High,Medium,90,No,8,Unhealthy,7,No,Yes,Kinesthetic,High,2.7
19,F,2.3,71,20,Arts,Public,Medium,,High,High,21,Yes,9,Balanced,7,Yes,,Visual,Medium,3.7
21,M,2,98,5,Science,Public,Low,Medium,Low,,46,No,9,Unhealthy,5,No,,Visual,Medium,2
21,F,2.3,73,15,Law,,High,Medium,Medium,,96,Yes,8,Balanced,6,No,Yes,Visual,High,1.7
